Site Name,Device Hostname,Device Description,Software,Version
The Township of Pennsauken,p136wr,P136WR,AutoElevate,2.9.5
The Township of Pennsauken,p136wr,P136WR,CloudRadial Agent,1.6.4.0
The Township of Pennsauken,p136wr,P136WR,Connection Client version 14.30.0.69,14.30.0.69
The Township of Pennsauken,p136wr,P136WR,Datto RMM,4.4.2236.2236
The Township of Pennsauken,p136wr,P136WR,Dell Command | Update for Windows Universal,5.4.0
The Township of Pennsauken,p136wr,P136WR,Dell Digital Delivery,3.2.1006.0
The Township of Pennsauken,p136wr,P136WR,Dell SupportAssist,2.0.6875.668
The Township of Pennsauken,p136wr,P136WR,Dell SupportAssist,4.6.3.23467
The Township of Pennsauken,p136wr,P136WR,Dell SupportAssist OS Recovery Plugin for Dell Update,5.5.13.0
The Township of Pennsauken,p136wr,P136WR,Google Chrome,132.0.6834.160
The Township of Pennsauken,p136wr,P136WR,Google Drive,103.0.3.0
The Township of Pennsauken,p136wr,P136WR,GSS - Client Applications,14.2.2
The Township of Pennsauken,p136wr,P136WR,GSS - Construction Project Manager,14.2.2
The Township of Pennsauken,p136wr,P136WR,GSS - Crystal Runtime,14.2.2
The Township of Pennsauken,p136wr,P136WR,GSS - Property Maintenance Manager,14.1.6
The Township of Pennsauken,p136wr,P136WR,GSS - Zoning Manager,14.1.6
The Township of Pennsauken,p136wr,P136WR,Huntress Agent,0.13.246
The Township of Pennsauken,p136wr,P136WR,Huntress Rio,0.6.16
The Township of Pennsauken,p136wr,P136WR,Intel(R) Management Engine Components,2435.6.35.0
The Township of Pennsauken,p136wr,P136WR,Intel(R) Processor Graphics,25.20.100.6373
The Township of Pennsauken,p136wr,P136WR,Kyocera Product Library,6.0.1308
The Township of Pennsauken,p136wr,P136WR,Microsoft .NET Runtime - 5.0.17 (x64),5.0.17.31213
The Township of Pennsauken,p136wr,P136WR,Microsoft .NET Runtime - 6.0.20 (x64),6.0.20.32620
The Township of Pennsauken,p136wr,P136WR,Microsoft Edge,132.0.2957.140
The Township of Pennsauken,p136wr,P136WR,Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,p136wr,P136WR,Microsoft Office Standard 2019 - en-us,16.0.10416.20047
The Township of Pennsauken,p136wr,P136WR,Microsoft OneDrive,24.244.1204.0003
The Township of Pennsauken,p136wr,P136WR,Microsoft Update Health Tools,3.74.0.0
The Township of Pennsauken,p136wr,P136WR,Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23026,14.0.23026.0
The Township of Pennsauken,p136wr,P136WR,Microsoft Windows Desktop Runtime - 6.0.28 (x64),6.0.28.33420
The Township of Pennsauken,p136wr,P136WR,Microsoft Windows Desktop Runtime - 8.0.11 (x64),8.0.11.34221
The Township of Pennsauken,p136wr,P136WR,MiniTool ShadowMaker PW Edition,3.5
The Township of Pennsauken,p136wr,P136WR,Realtek Audio COM Components,1.0.2
The Township of Pennsauken,p136wr,P136WR,Realtek Audio Driver,6.0.9175.1
The Township of Pennsauken,p136wr,P136WR,Realtek Ethernet Controller All-In-One Windows Driver,10.19.627.2017
The Township of Pennsauken,p136wr,P136WR,Samsung Data Migration,4.0.0.14
The Township of Pennsauken,p136wr,P136WR,Samsung Magician,6.2.1.260
The Township of Pennsauken,p136wr,P136WR,Splashtop Streamer,3.7.2.4
The Township of Pennsauken,p136wr,P136WR,TuneIn 1.19.0,1.19.0
The Township of Pennsauken,p136wr,P136WR,Update for Windows 10 for x64-based Systems (KB4480730),2.53.0.0
The Township of Pennsauken,p136wr,P136WR,Vulkan Run Time Libraries 1.0.33.0,1.0.33.0
The Township of Pennsauken,p136wr,P136WR,Xerox Desktop Print Experience 8.5,8.145.0.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Adobe Reader XI (11.0.20)  MUI,11.0.20
The Township of Pennsauken,P155LH,"P155LH, Judy",AutoElevate,2.9.5
The Township of Pennsauken,P155LH,"P155LH, Judy",Brother PowerENGAGE,1.0.27
The Township of Pennsauken,P155LH,"P155LH, Judy",CloudRadial Agent,1.6.4.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Connection Client version 14.30.0.69,14.30.0.69
The Township of Pennsauken,P155LH,"P155LH, Judy",Create Recovery Media,1.0.0.1
The Township of Pennsauken,P155LH,"P155LH, Judy",Datto RMM,4.4.2236.2236
The Township of Pennsauken,P155LH,"P155LH, Judy",Dell Command | Update,2.3.1
The Township of Pennsauken,P155LH,"P155LH, Judy",Dell Digital Delivery,3.4.1002.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Dell Edoc Viewer,1.0.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Dell Protected Workspace,4.0.18189
The Township of Pennsauken,P155LH,"P155LH, Judy",GSS - Client Applications,14.2.2
The Township of Pennsauken,P155LH,"P155LH, Judy",GSS - Construction Project Manager,14.2.5
The Township of Pennsauken,P155LH,"P155LH, Judy",GSS - Crystal Runtime,14.2.2
The Township of Pennsauken,P155LH,"P155LH, Judy",GSS - Property Maintenance Manager,.
The Township of Pennsauken,P155LH,"P155LH, Judy",Huntress Agent,0.13.246
The Township of Pennsauken,P155LH,"P155LH, Judy",Huntress Rio,0.6.16
The Township of Pennsauken,P155LH,"P155LH, Judy",Intel(R) Management Engine Components,11.7.0.1054
The Township of Pennsauken,P155LH,"P155LH, Judy",Intel(R) Network Connections 20.3.200.1,20.3.200.1
The Township of Pennsauken,P155LH,"P155LH, Judy",Intel(R) Processor Graphics,21.20.16.4821
The Township of Pennsauken,P155LH,"P155LH, Judy",Intel(R) Rapid Storage Technology,15.7.5.1025
The Township of Pennsauken,P155LH,"P155LH, Judy",Intel(R) USB 3.0\3.1 eXtensible Host Controller Driver,5.0.3.42
The Township of Pennsauken,P155LH,"P155LH, Judy",Intel® Optane™ Pinning Explorer Extensions,16.8.4.1011
The Township of Pennsauken,P155LH,"P155LH, Judy",Java 8 Update 441,8.0.4410.7
The Township of Pennsauken,P155LH,"P155LH, Judy",Java 8 Update 441 (64-bit),8.0.4410.7
The Township of Pennsauken,P155LH,"P155LH, Judy",Kyocera Product Library,5.0.35.27
The Township of Pennsauken,P155LH,"P155LH, Judy",Logitech Unifying Software 2.52,2.52.33
The Township of Pennsauken,P155LH,"P155LH, Judy",Lotus Organizer 5.0,
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft 365 Apps for business - en-us,16.0.17928.20392
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft 365 Apps for enterprise - en-us,16.0.17928.20392
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Edge,132.0.2957.140
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Intune Management Extension,1.86.105.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft OneDrive,18.151.0729.0013
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft OneDrive,25.004.0109.0002
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Teams,1.6.00.6754
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Teams,1.7.00.7956
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Teams Meeting Add-in for Microsoft Office,1.24.31301
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Update Health Tools,3.74.0.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Visual C++ 2015 Redistributable (x64) - 14.0.23918,14.0.23918.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.23918,14.0.23918.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Realtek Audio COM Components,1.0.2
The Township of Pennsauken,P155LH,"P155LH, Judy",Realtek High Definition Audio Driver,6.0.1.6122
The Township of Pennsauken,P155LH,"P155LH, Judy",ScreenConnect Client (7bff577c330371e2),24.3.7.9067
The Township of Pennsauken,P155LH,"P155LH, Judy",Splashtop Streamer,3.7.2.4
The Township of Pennsauken,P155LH,"P155LH, Judy",Teams Machine-Wide Installer,1.3.0.26064
The Township of Pennsauken,P155LH,"P155LH, Judy",Update for x64-based Windows Systems (KB5001716),8.94.0.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Vulkan Run Time Libraries 1.0.33.0,1.0.33.0
The Township of Pennsauken,P155LH,"P155LH, Judy",Xerox Desktop Print Experience 8.5,8.155.0.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,50onPaletteServer,1.1.0
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ABAssistantService,14
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,About This Mac,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AccessibilityVisualsAgent,1
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Acrobat Distiller,24.005.20400
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Acrobat Update Helper,1 . 2 . 6
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AcroLicApp,24.005.20400
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,ACR_17_1_32,6.4.0.361
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Activity Monitor,10.14
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,Add Printer,607
The Township of Pennsauken,Ryans-MBP-2.TwpPennsauken193,Ryans-MBP,AddressBookManager,14
